buy_date,sell_date,code,pnl,hold_days
2020-01-02,2020-01-09,002540.SZ,3033.9572571000062,7
2020-01-02,2020-01-16,600188.SH,-889.2182098799951,14
2020-01-02,2020-01-23,000036.SZ,-274.3533611196302,21
2020-01-02,2020-01-23,600019.SH,-490.3707937433322,21
2020-01-02,2020-01-23,002088.SZ,-1709.1083809800011,21
2020-01-09,2020-02-07,000036.SZ,-4018.0775657503755,29
2020-01-23,2020-02-07,002713.SZ,-1916.9025406699989,15
2020-01-09,2020-02-07,600019.SH,-2045.7664329666663,29
2020-01-23,2020-02-07,600028.SH,-835.6823836899994,15
2020-01-09,2020-02-07,600348.SH,-2980.6424355399995,29
2020-02-07,2020-02-21,300752.SZ,2482.7040391999985,14
2020-02-07,2020-02-21,300749.SZ,2399.8264983000004,14
2020-02-07,2020-02-21,300354.SZ,1980.1013232000043,14
2020-02-21,2020-02-28,603059.SH,-1812.707249320001,7
2020-02-21,2020-03-06,002667.SZ,2599.6635126000037,14
2020-02-28,2020-03-06,603790.SH,1670.0376993300006,7
2020-03-06,2020-03-13,603192.SH,-284.6737662999986,7
2020-02-07,2020-03-13,300283.SZ,3886.445058649999,35
2020-02-14,2020-03-20,300752.SZ,-2855.8244938299986,35
2020-03-13,2020-03-20,603790.SH,-716.6063966600003,7
2020-03-06,2020-03-27,300283.SZ,-580.076419999999,21
2020-02-21,2020-03-27,603897.SH,-207.7370995700026,35
2020-03-13,2020-04-03,300749.SZ,-586.6619258499942,21
2020-03-27,2020-04-03,603733.SH,82.2796474500034,7
2020-02-07,2020-04-03,300746.SZ,-87.31972479999936,56
2020-03-27,2020-04-03,300354.SZ,-475.9194809599979,7
2020-03-20,2020-04-03,002942.SZ,339.5149419200038,14
2020-01-16,2020-04-20,600348.SH,-140.82754840000135,95
2020-04-03,2020-04-20,600507.SH,20.96560698540047,17
2020-04-20,2020-04-27,601003.SH,-311.4510814799989,7
2020-01-16,2020-04-27,000036.SZ,2393.158925079999,102
2020-04-27,2020-05-07,002540.SZ,78.64104854000087,10
2020-04-20,2020-05-07,002713.SZ,-400.29346279999703,17
2020-01-16,2020-05-07,600019.SH,21.810747419997195,112
2020-04-03,2020-05-07,600188.SH,-1056.2547842000033,34
2020-05-07,2020-05-14,300488.SZ,-251.86753283999795,7
2020-05-07,2020-05-14,300437.SZ,-330.36242777999973,7
2020-05-07,2020-05-21,002802.SZ,1251.717756520004,14
2020-05-07,2020-05-21,600444.SH,6.27006380000427,14
2020-05-14,2020-05-28,300243.SZ,225.7537590000031,14
2020-05-14,2020-06-04,603045.SH,627.1135216500046,21
2020-05-07,2020-06-04,300354.SZ,370.67656964000514,28
2020-05-21,2020-06-11,300488.SZ,169.6999679700058,21
2020-05-14,2020-06-11,600444.SH,846.8494049399981,28
2020-06-11,2020-06-18,002360.SZ,287.2186617300024,7
2020-06-04,2020-06-18,300778.SZ,1246.037696750002,14
2020-06-18,2020-06-29,300437.SZ,-424.85476109999723,11
2020-06-11,2020-06-29,600475.SH,290.6250793600019,18
