date,total_asset,cash,market_value,benchmark,positions,daily_return
2020-01-02,99875.66075317001,4982.660753170014,94893.0,101.35869432551054,5,0.0
2020-01-03,99678.66075317001,4982.660753170014,94696.0,101.18098511441251,5,-0.0019724525326231257
2020-01-06,101191.66075317001,4982.660753170014,96209.0,100.79871502570437,5,0.015178775362427732
2020-01-07,103192.66075317001,4982.660753170014,98210.0,101.55373506681183,5,0.01977435675140171
2020-01-08,101711.66075317001,4982.660753170014,96729.0,100.38422293718175,5,-0.0143517958466296
2020-01-09,102343.58708962002,228.58708962002493,102115.0,101.65479497532088,5,0.006212919263834937
2020-01-10,102564.58708962002,228.58708962002493,102336.0,101.62574635427602,5,0.00215939275029009
2020-01-13,103270.58708962002,228.58708962002493,103042.0,102.62194318187366,5,0.006883467481647587
2020-01-14,103601.58708962002,228.58708962002493,103373.0,102.27775363840081,5,0.0032051720565193786
2020-01-15,102384.58708962002,228.58708962002493,102156.0,101.7124040052922,5,-0.0117469242912972
2020-01-16,101593.98892697002,127.98892697002702,101466.0,101.28058038656636,4,-0.007721847449147501
2020-01-17,101575.98892697002,127.98892697002702,101448.0,101.42240600696191,4,-0.00017717583678045212
2020-01-20,101581.98892697002,127.98892697002702,101454.0,102.17864657836537,4,5.9069077873452613e-05
2020-01-21,99477.98892697002,127.98892697002702,99350.0,100.43280004296268,4,-0.02071233318253518
2020-01-22,98565.98892697002,127.98892697002702,98438.0,100.86291491927413,4,-0.009167857229899656
2020-01-23,95096.35932415002,468.35932415002026,94628.0,97.73762504332882,5,-0.03520108346288431
2020-02-03,86292.35932415002,468.35932415002026,85824.0,90.03510245131305,5,-0.09257977973678533
2020-02-04,86057.35932415002,468.35932415002026,85589.0,92.40976619521649,5,-0.0027233002068843826
2020-02-05,87398.35932415002,468.35932415002026,86930.0,93.45673708312788,5,0.01558263012636596
2020-02-06,88333.35932415002,468.35932415002026,87865.0,95.19599275493216,5,0.010698141329314792
2020-02-07,87690.23882634,6057.238826340008,81633.0,95.19818970946497,5,-0.007280607266955674
