date,total_asset,cash,market_value,benchmark,positions,daily_return
2022-09-20,200795.0333533597,8505.033353359693,192290.0,96.00300738664936,5,0.009304124224285282
2022-09-21,202770.77378838972,8989.773788389713,193781.0,95.29241464831641,5,0.009839588171252744
2022-09-22,201857.77378838972,8989.773788389713,192868.0,94.45293391072553,5,-0.0045026212749614825
2022-09-23,197071.77378838972,8989.773788389713,188082.0,94.12778463987033,5,-0.023709763117754523
2022-09-26,192164.77378838972,8989.773788389713,183175.0,93.65568352137636,5,-0.024899557687388607
2022-09-27,196803.77378838972,8989.773788389713,187814.0,95.01340142265012,5,0.024140740826455787
2022-09-28,192380.3332304697,7493.333230469703,184887.0,93.46113099219349,5,-0.022476401101313548
2022-09-29,190710.3332304697,7493.333230469703,183217.0,93.42280634089899,5,-0.00868072100696149
2022-09-30,187207.3332304697,7493.333230469703,179714.0,92.87967035917765,5,-0.01836817093579657
2022-10-10,185896.3332304697,7493.333230469703,178403.0,90.8303999921886,5,-0.007002930800718343
2022-10-11,186424.3332304697,7493.333230469703,178931.0,90.99517158214901,5,0.0028402927095145802
2022-10-12,189827.5656674097,8306.565667409719,181521.0,92.37730008934281,5,0.0182553016441942
2022-10-13,192192.5656674097,8306.565667409719,183886.0,91.60494851803212,5,0.012458675280826448
2022-10-14,196978.5656674097,8306.565667409719,188672.0,93.79702092965351,5,0.024902107859271716
2022-10-17,199928.5656674097,8306.565667409719,191622.0,93.89319871697856,5,0.014976248760897981
2022-10-18,202254.5656674097,8306.565667409719,193948.0,93.69449638478926,5,0.011634155390627843
2022-10-19,200211.61475382972,8150.614753829723,192061.0,92.18738557528475,5,-0.010100888980372646
2022-10-20,200329.61475382972,8150.614753829723,192179.0,91.66011648741144,5,0.0005893763962949716
2022-10-21,199609.61475382972,8150.614753829723,191459.0,91.36621279213392,5,-0.0035940766964722703
2022-10-24,196493.61475382972,8150.614753829723,188343.0,88.69276323176894,5,-0.015610470486819183
2022-10-25,193899.61475382972,8150.614753829723,185749.0,88.54825244472218,5,-0.01320144679128532
2022-10-26,201484.07617203973,7167.076172039728,194317.0,89.26714478906796,5,0.03911540220355292
2022-10-27,201984.07617203973,7167.076172039728,194817.0,88.63832758056719,5,0.002481585689050103
2022-10-28,194198.07617203973,7167.076172039728,187031.0,86.44601106288661,5,-0.038547593194268814
2022-10-31,198702.07617203973,7167.076172039728,191535.0,85.64949299171504,5,0.023192814721861188
2022-11-01,202756.07617203973,7167.076172039728,195589.0,88.71229171650499,5,0.0204024038303956
2022-11-02,204964.76648547975,9668.766485479748,195296.0,89.77757055885641,5,0.010893337231314026
2022-11-03,205854.76648547975,9668.766485479748,196186.0,89.04744933578742,5,0.004342209713702472
2022-11-04,207527.76648547975,9668.766485479748,197859.0,91.95890230387299,5,0.008127088959672069
2022-11-07,209004.76648547975,9668.766485479748,199336.0,92.15736053000309,5,0.007117119916111747
2022-11-08,209477.76648547975,9668.766485479748,199809.0,91.52341709425912,5,0.0022631062819939984
2022-11-09,210445.58244060975,7349.58244060976,203096.0,90.6675812507018,5,0.0046201368831049194
2022-11-10,208270.58244060975,7349.58244060976,200921.0,89.96992613350649,5,-0.010335213382841157
2022-11-11,207824.58244060975,7349.58244060976,200475.0,92.47811589179267,5,-0.0021414450124139783
2022-11-14,209751.58244060975,7349.58244060976,202402.0,92.61432707282661,5,0.009272242856788626
2022-11-15,217035.58244060975,7349.58244060976,209686.0,94.37067016877492,5,0.034726794025796925
2022-11-16,221879.95053474975,2743.9505347497598,219136.0,93.59978323381944,5,0.022320616922184344
2022-11-17,219163.95053474975,2743.9505347497598,216420.0,93.21580440269688,5,-0.012240853639340576
2022-11-18,216255.95053474975,2743.9505347497598,213512.0,92.79862714752306,5,-0.013268605502431474
2022-11-21,218356.95053474975,2743.9505347497598,215613.0,92.0067470914763,5,0.00971533960015769
2022-11-22,216945.95053474975,2743.9505347497598,214202.0,92.01748775808115,5,-0.006461896434001746
2022-11-23,215381.40650760976,8092.406507609761,207289.0,92.11415375752458,5,-0.00721167656406374
2022-11-24,216222.40650760976,8092.406507609761,208130.0,91.70600842654116,5,0.003904701030774893
2022-11-25,215058.40650760976,8092.406507609761,206966.0,92.1690776208447,5,-0.005383345874281686
2022-11-28,214912.40650760976,8092.406507609761,206820.0,91.13065044500534,5,-0.0006788853426886732
2022-11-29,217287.40650760976,8092.406507609761,209195.0,93.94226403487788,5,0.01105101393909469
2022-11-30,216244.40650760976,8092.406507609761,208152.0,94.05504103422855,5,-0.00480009410928961
2022-12-01,216246.40650760976,8092.406507609761,208154.0,95.07369561927266,5,9.24879414121449e-06
2022-12-02,218235.40650760976,8092.406507609761,210143.0,94.49223498625683,5,0.009197840704603832
2022-12-05,219084.40650760976,8092.406507609761,210992.0,96.345732293767,5,0.003890294492476798
2022-12-06,218154.40650760976,8092.406507609761,210062.0,96.86616641198268,5,-0.004244939267129877
2022-12-07,217231.40650760976,8092.406507609761,209139.0,96.62791889820289,5,-0.0042309482296329914
2022-12-08,217093.40650760976,8092.406507609761,209001.0,96.64598274658374,5,-0.0006352672581676488
2022-12-09,216104.40650760976,8092.406507609761,208012.0,97.59946101382128,5,-0.004555642734204057
2022-12-12,215457.40650760976,8092.406507609761,207365.0,96.5058658686026,5,-0.0029939232172816466
2022-12-13,214298.40650760976,8092.406507609761,206206.0,96.31643956666292,5,-0.00537925346260526
2022-12-14,214821.45185259974,10083.451852599756,204738.0,96.54126124718667,5,0.0024407337110619043
