code,segment,kind,time,time_human,field,lib_val,fresh_val,abs_diff
600039,daily,TIME_MISSING_FRESH,1527004800000,2018-05-22 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527177600000,2018-05-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527436800000,2018-05-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527523200000,2018-05-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527609600000,2018-05-29 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527696000000,2018-05-30 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1527782400000,2018-05-31 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528041600000,2018-06-03 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528128000000,2018-06-04 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528214400000,2018-06-05 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528300800000,2018-06-06 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528387200000,2018-06-07 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528646400000,2018-06-10 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528732800000,2018-06-11 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528819200000,2018-06-12 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528905600000,2018-06-13 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1528992000000,2018-06-14 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529337600000,2018-06-18 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529424000000,2018-06-19 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529510400000,2018-06-20 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529596800000,2018-06-21 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529856000000,2018-06-24 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1529942400000,2018-06-25 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530028800000,2018-06-26 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530115200000,2018-06-27 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530201600000,2018-06-28 16:00:00,,,,
600039,daily,TIME_MISSING_FRESH,1530460800000,2018-07-01 16:00:00,,,,
