datetime,code,action,volume,price,commission,tax,pnl,amount
2022-01-24,002107.SZ,buy,13300,7.287279999999999,29.076247199999994,0.0,0.0,96920.824
2022-02-07,002107.SZ,buy,400,6.896889999999999,5.0,0.0,0.0,2758.7559999999994
2022-02-14,002107.SZ,sell,9200,6.90309,19.0525284,63.508428,-3512.8801574683157,63508.428
2022-02-21,300708.SZ,buy,1700,17.19718,8.7705618,0.0,0.0,29235.206
2022-02-21,002107.SZ,buy,200,7.047039999999999,5.0,0.0,0.0,1409.408
2022-02-21,300390.SZ,buy,300,85.23514999999999,7.671163499999999,0.0,0.0,25570.545
2022-02-28,002107.SZ,sell,1300,7.02297,5.0,9.129861000000002,-330.3471060302503,9129.861
2022-02-28,300708.SZ,sell,300,17.00298,5.0,5.100894,-68.41190293999958,5100.894
2022-03-07,300390.SZ,sell,300,71.20872,6.4087847999999985,21.362616,-4235.9140269599975,21362.615999999998
2022-03-07,300708.SZ,sell,1400,15.84414,6.654538799999999,22.181796,-1923.31415276,22181.796
2022-03-07,002138.SZ,buy,600,27.687659999999997,5.0,0.0,0.0,16612.595999999998
2022-03-07,300653.SZ,buy,200,69.35929,5.0,0.0,0.0,13871.858
2022-03-07,002107.SZ,sell,1000,7.2727200000000005,5.0,7.2727200000000005,-5.769252138653455,7272.72
2022-03-07,603897.SH,buy,400,37.02699,5.0,0.0,0.0,14810.795999999998
2022-03-07,300596.SZ,buy,300,45.7457,5.0,0.0,0.0,13723.71
2022-03-14,002107.SZ,sell,2400,6.86313,5.0,16.471512,-364.86935897277016,16471.512
2022-03-14,002138.SZ,sell,600,25.234740000000002,5.0,15.140844000000001,-1492.0442524399973,15140.844000000001
2022-03-14,300596.SZ,sell,300,43.78617,5.0,13.135850999999999,-606.1262095100003,13135.850999999999
2022-03-14,300653.SZ,sell,200,62.3376,5.0,12.46752,-1421.9301951999998,12467.52
2022-03-14,603897.SH,sell,400,32.5674,5.0,13.026959999999999,-1801.9932295999993,13026.96
2022-03-14,000589.SZ,buy,3000,5.345339999999999,5.0,0.0,0.0,16036.019999999999
2022-03-14,002793.SZ,buy,1800,8.71871,5.0,0.0,0.0,15693.678
2022-03-14,300281.SZ,buy,2900,5.57557,5.0,0.0,0.0,16169.153
2022-03-14,002346.SZ,buy,1100,14.464449999999998,5.0,0.0,0.0,15910.894999999997
2022-03-14,300304.SZ,buy,2800,5.74574,5.0,0.0,0.0,16088.071999999998
2022-03-21,000589.SZ,sell,3000,5.4445500000000004,5.0,16.333650000000002,276.1330135000034,16333.650000000001
2022-03-21,002346.SZ,sell,1100,14.225760000000001,5.0,15.648336000000002,-283.36381935999617,15648.336000000001
2022-03-21,300304.SZ,sell,2800,5.64435,5.0,15.80418,-304.85422179999836,15804.18
2022-03-21,600178.SH,buy,2300,6.966959999999999,5.0,0.0,0.0,16024.007999999998
2022-03-21,300211.SZ,buy,1600,10.090079999999999,5.0,0.0,0.0,16144.127999999997
2022-03-21,000058.SZ,buy,2800,5.71571,5.0,0.0,0.0,16003.988
2022-03-28,000058.SZ,sell,2800,5.74425,5.0,16.0839,58.66726100000127,16083.9
2022-03-28,002793.SZ,sell,1800,8.75124,5.0,15.752232,37.64424567999911,15752.231999999998
2022-03-28,300211.SZ,sell,1600,9.83016,5.0,15.728256,-436.7575385599988,15728.256
2022-03-28,600178.SH,sell,2300,6.94305,5.0,15.969015000000002,-76.12170514999768,15969.015000000001
2022-03-28,300697.SZ,buy,1500,10.8108,5.0,0.0,0.0,16216.2
2022-03-28,300281.SZ,sell,100,5.96403,5.0,0.596403,33.24363297000002,596.403
2022-03-28,002866.SZ,buy,1400,11.201189999999999,5.0,0.0,0.0,15681.665999999997
2022-03-28,300517.SZ,buy,1100,13.74373,5.0,0.0,0.0,15118.103
2022-03-28,600980.SH,buy,1000,15.945929999999999,5.0,0.0,0.0,15945.929999999998
2022-04-06,002866.SZ,sell,1400,11.22876,5.0,15.720264,17.720533360001063,15720.264
2022-04-06,300281.SZ,sell,2800,6.013979999999999,5.051743199999999,16.839143999999997,1205.488721359998,16839.143999999997
2022-04-06,300517.SZ,sell,1100,13.93605,5.0,15.329655,191.06904845000054,15329.655
2022-04-06,300697.SZ,sell,1500,10.699290000000001,5.0,16.048935,-188.47442434999869,16048.935000000001
2022-04-06,600980.SH,sell,1000,15.4845,5.0,15.4845,-482.0693449999983,15484.5
2022-04-06,000157.SZ,buy,2300,6.856849999999999,5.0,0.0,0.0,15770.754999999997
2022-04-06,000550.SZ,buy,1100,13.73372,5.0,0.0,0.0,15107.092
2022-04-06,600188.SH,buy,400,36.91688,5.0,0.0,0.0,14766.752
2022-04-06,600273.SH,buy,1500,10.210199999999999,5.0,0.0,0.0,15315.299999999997
2022-04-06,000761.SZ,buy,3500,4.57457,5.0,0.0,0.0,16010.994999999999
2022-04-13,000157.SZ,sell,2300,6.78321,5.0,15.601383000000002,-190.12939682999627,15601.383000000002
2022-04-13,600273.SH,sell,1500,10.53945,5.0,15.809175000000002,472.90773325000276,15809.175000000001
2022-04-13,000550.SZ,buy,200,12.692679999999998,5.0,0.0,0.0,2538.5359999999996
2022-04-13,600188.SH,buy,200,38.038,5.0,0.0,0.0,7607.599999999999
2022-04-13,000589.SZ,buy,3500,4.48448,5.0,0.0,0.0,15695.679999999998
2022-04-13,603301.SH,buy,300,38.027989999999996,5.0,0.0,0.0,11408.396999999999
2022-04-13,000761.SZ,buy,200,4.45445,5.0,0.0,0.0,890.8899999999999
2022-04-20,000589.SZ,sell,3500,4.56543,5.0,15.979005,262.1862049500018,15979.005000000001
2022-04-20,000761.SZ,sell,3700,4.3956,5.0,16.26372,-659.5913571999985,16263.72
2022-04-20,603301.SH,buy,100,36.24621,5.0,0.0,0.0,3624.6209999999996
2022-04-20,002088.SZ,buy,1000,14.794779999999998,5.0,0.0,0.0,14794.779999999997
2022-04-20,600188.SH,buy,200,34.48445,5.0,0.0,0.0,6896.89
2022-04-20,002154.SZ,buy,1700,3.9439399999999996,5.0,0.0,0.0,6704.697999999999
2022-04-27,002154.SZ,sell,1700,3.65634,5.0,6.215778,-500.197935779999,6215.778
2022-04-27,600188.SH,sell,800,31.85811,7.6459464,25.486488,-3818.1412992800006,25486.488
2022-04-27,603301.SH,sell,400,33.39657,5.0,13.358628,-1692.8822142799995,13358.627999999999
2022-04-27,600901.SH,buy,2900,4.884879999999999,5.0,0.0,0.0,14166.151999999996
2022-04-27,000550.SZ,buy,100,11.19118,5.0,0.0,0.0,1119.118
2022-04-27,600998.SH,buy,1200,11.291279999999999,5.0,0.0,0.0,13549.535999999998
2022-04-27,601216.SH,buy,3400,4.16416,5.0,0.0,0.0,14158.144
