date,total_asset,cash,market_value,benchmark,positions,daily_return
2020-01-02,100000.0,100000.0,0.0,101.35869432551054,0,0.0
2020-01-03,100000.0,100000.0,0.0,101.18098511441251,0,0.0
2020-01-06,100000.0,100000.0,0.0,100.79871502570437,0,0.0
2020-01-07,100000.0,100000.0,0.0,101.55373506681183,0,0.0
2020-01-08,100000.0,100000.0,0.0,100.38422293718175,0,0.0
2020-01-09,100000.0,100000.0,0.0,101.65479497532088,0,0.0
2020-01-10,100000.0,100000.0,0.0,101.62574635427602,0,0.0
2020-01-13,100000.0,100000.0,0.0,102.62194318187366,0,0.0
2020-01-14,100000.0,100000.0,0.0,102.27775363840081,0,0.0
2020-01-15,100000.0,100000.0,0.0,101.7124040052922,0,0.0
2020-01-16,100000.0,100000.0,0.0,101.28058038656636,0,0.0
2020-01-17,100000.0,100000.0,0.0,101.42240600696191,0,0.0
2020-01-20,100000.0,100000.0,0.0,102.17864657836537,0,0.0
2020-01-21,100000.0,100000.0,0.0,100.43280004296268,0,0.0
2020-01-22,100000.0,100000.0,0.0,100.86291491927413,0,0.0
2020-01-23,100000.0,100000.0,0.0,97.73762504332882,0,0.0
2020-02-03,100000.0,100000.0,0.0,90.03510245131305,0,0.0
2020-02-04,100000.0,100000.0,0.0,92.40976619521649,0,0.0
2020-02-05,100000.0,100000.0,0.0,93.45673708312788,0,0.0
2020-02-06,100000.0,100000.0,0.0,95.19599275493216,0,0.0
2020-02-07,100000.0,100000.0,0.0,95.19818970946497,0,0.0
2020-02-10,100000.0,100000.0,0.0,95.59217688901475,0,0.0
2020-02-11,100000.0,100000.0,0.0,96.48194347480093,0,0.0
2020-02-12,100000.0,100000.0,0.0,97.26235054606526,0,0.0
2020-02-13,100000.0,100000.0,0.0,96.66404659496457,0,0.0
2020-02-14,100000.0,100000.0,0.0,97.34290554560145,0,0.0
2020-02-17,100000.0,100000.0,0.0,99.53229279057166,0,0.0
2020-02-18,100000.0,100000.0,0.0,99.04627762670326,0,0.0
2020-02-19,100000.0,100000.0,0.0,98.89493186999889,0,0.0
2020-02-20,100000.0,100000.0,0.0,101.17366193263648,0,0.0
2020-02-21,100000.0,100000.0,0.0,101.29156515923037,0,0.0
2020-02-24,100000.0,100000.0,0.0,100.88512857066138,0,0.0
2020-02-25,100000.0,100000.0,0.0,100.66567722344004,0,0.0
2020-02-26,100000.0,100000.0,0.0,99.42488612452338,0,0.0
2020-02-27,100000.0,100000.0,0.0,99.7143959107353,0,0.0
2020-02-28,100000.0,100000.0,0.0,96.17900785533298,0,0.0
2020-03-02,100000.0,100000.0,0.0,99.34311059469118,0,0.0
2020-03-03,100000.0,100000.0,0.0,99.87257663709728,0,0.0
2020-03-04,100000.0,100000.0,0.0,100.45086389134352,0,0.0
2020-03-05,100000.0,100000.0,0.0,102.68882824209462,0,0.0
2020-03-06,100000.0,100000.0,0.0,101.02353670622813,0,0.0
2020-03-09,100000.0,100000.0,0.0,97.57236524125003,0,0.0
2020-03-10,100000.0,100000.0,0.0,99.66191310800717,0,0.0
2020-03-11,100000.0,100000.0,0.0,98.33641720654789,0,0.0
2020-03-12,100000.0,100000.0,0.0,96.44410703562484,0,0.0
2020-03-13,100000.0,100000.0,0.0,95.08687734646949,0,0.0
2020-03-16,100000.0,100000.0,0.0,90.99883317303703,0,0.0
2020-03-17,100000.0,100000.0,0.0,90.55553656952873,0,0.0
2020-03-18,100000.0,100000.0,0.0,88.76330988287792,0,0.0
2020-03-19,100000.0,100000.0,0.0,87.61186160162868,0,0.0
2020-03-20,100000.0,100000.0,0.0,89.17731375928213,0,0.0
2020-03-23,100000.0,100000.0,0.0,86.17700618564754,0,0.0
2020-03-24,100000.0,100000.0,0.0,88.49113162686925,0,0.0
2020-03-25,100000.0,100000.0,0.0,90.8689687495423,0,0.0
2020-03-26,100000.0,100000.0,0.0,90.27164122267844,0,0.0
2020-03-27,100000.0,100000.0,0.0,90.56481259977835,0,0.0
2020-03-30,100000.0,100000.0,0.0,89.6872513169522,0,0.0
2020-03-31,100000.0,100000.0,0.0,89.9813991182889,0,0.0
2020-04-01,100000.0,100000.0,0.0,89.71092960469464,0,0.0
2020-04-02,100000.0,100000.0,0.0,91.16214012664223,0,0.0
2020-04-03,100000.0,100000.0,0.0,90.64195011448574,0,0.0
2020-04-07,100000.0,100000.0,0.0,92.71196949650684,0,0.0
2020-04-08,100000.0,100000.0,0.0,92.28038998384018,0,0.0
2020-04-09,100000.0,100000.0,0.0,92.58479023966333,0,0.0
2020-04-10,100000.0,100000.0,0.0,92.00796762177231,0,0.0
2020-04-13,100000.0,100000.0,0.0,91.61935077552495,0,0.0
2020-04-14,100000.0,100000.0,0.0,93.38765506837412,0,0.0
2020-04-15,100000.0,100000.0,0.0,92.6958584965996,0,0.0
2020-04-16,100000.0,100000.0,0.0,92.81839973831832,0,0.0
2020-04-17,100000.0,100000.0,0.0,93.72427732401172,0,0.0
2020-04-20,100000.0,100000.0,0.0,94.06529348871499,0,0.0
2020-04-21,100000.0,100000.0,0.0,92.95680787388505,0,0.0
2020-04-22,100000.0,100000.0,0.0,93.72159215736053,0,0.0
2020-04-23,100000.0,100000.0,0.0,93.48651802235035,0,0.0
2020-04-24,100000.0,100000.0,0.0,92.68633836029078,0,0.0
2020-04-27,100000.0,100000.0,0.0,93.31613199302834,0,0.0
2020-04-28,100000.0,100000.0,0.0,93.96008377719951,0,0.0
2020-04-29,100000.0,100000.0,0.0,94.3965454110502,0,0.0
2020-04-30,100000.0,100000.0,0.0,95.50844851070893,0,0.0
2020-05-06,100000.0,100000.0,0.0,96.08624755283675,0,0.0
2020-05-07,100000.0,100000.0,0.0,95.80894306958487,0,0.0
2020-05-08,100000.0,100000.0,0.0,96.7543658368688,0,0.0
2020-05-11,100000.0,100000.0,0.0,96.6703933525038,0,0.0
2020-05-12,100000.0,100000.0,0.0,96.671857988859,0,0.0
2020-05-13,100000.0,100000.0,0.0,96.86738694227869,0,0.0
2020-05-14,100000.0,100000.0,0.0,95.8169985695385,0,0.0
2020-05-15,100000.0,100000.0,0.0,95.51430705612975,0,0.0
2020-05-18,100000.0,100000.0,0.0,95.76061006986315,0,0.0
2020-05-19,100000.0,100000.0,0.0,96.57445967123796,0,0.0
2020-05-20,100000.0,100000.0,0.0,96.06110462873909,0,0.0
2020-05-21,100000.0,100000.0,0.0,95.53798534387221,0,0.0
2020-05-22,100000.0,100000.0,0.0,93.3476216746652,0,0.0
2020-05-25,100000.0,100000.0,0.0,93.47602146180472,0,0.0
2020-05-26,100000.0,100000.0,0.0,94.53666228903134,0,0.0
2020-05-27,100000.0,100000.0,0.0,93.87367023224252,0,0.0
2020-05-28,100000.0,100000.0,0.0,94.14267510948157,0,0.0
2020-05-29,100000.0,100000.0,0.0,94.396301304991,0,0.0
2020-06-01,100000.0,100000.0,0.0,96.94281571457168,0,0.0
