         13270259 function calls (13043658 primitive calls) in 157.749 seconds

   Ordered by: cumulative time
   List reduced from 2271 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.523    0.007    2.191    0.029 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:937(<dictcomp>)
       76    0.515    0.007    2.113    0.028 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:529(<dictcomp>)
1524579/1501203    0.451    0.000    0.774    0.000 {built-in method builtins.isinstance}
    23560    0.348    0.000    0.348    0.000 {method 'copy' of 'numpy.ndarray' objects}
    52008    0.321    0.000    0.321    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1080720    0.236    0.000    0.236    0.000 {method 'rpartition' of 'str' objects}
      106    0.235    0.002    0.436    0.004 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:37(_build_code_index)
513501/321423    0.228    0.000    0.354    0.000 {built-in method builtins.len}
    33702    0.216    0.000    0.302    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
    18847    0.209    0.000    0.642    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
     8721    0.204    0.000    0.687    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:977(fast_xs)
       76    0.202    0.003    1.094    0.014 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:81(<listcomp>)
10420/10342    0.201    0.000    1.328    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:392(__init__)
   700531    0.176    0.000    0.176    0.000 {method 'setdefault' of 'dict' objects}
       76    0.175    0.002    9.838    0.129 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
    73015    0.171    0.000    0.280    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:1657(_to_ptrade_code)
    68316    0.160    0.000    0.424    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6323(__setattr__)
    14293    0.153    0.000    0.541    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
    18312    0.140    0.000    0.147    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:550(maybe_promote)
   221111    0.138    0.000    0.310    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
     8852    0.136    0.000    0.274    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:1444(find_common_type)
    36009    0.135    0.000    0.173    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:281(__init__)
       77    0.135    0.002    0.137    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\reshape\merge.py:2399(_factorize_keys)
   220420    0.128    0.000    0.128    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:163(normalize_to_ptrade)
   221111    0.125    0.000    0.167    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
     8588    0.124    0.000    0.224    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
    18461    0.123    0.000    4.090    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4073(__getitem__)
    34057    0.123    0.000    0.123    0.000 {built-in method numpy.empty}
    37575    0.109    0.000    0.444    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:1107(__getitem__)


