         69285670 function calls (68358221 primitive calls) in 184.989 seconds

   Ordered by: cumulative time
   List reduced from 2269 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7973    3.946    0.000    4.000    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
  3770217    3.400    0.000    4.893    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:25(bare_code)
  1226879    2.343    0.000    8.559    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:112(exchange)
   710019    2.120    0.000   11.016    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1720(_getitem_axis)
7828203/7804827    2.110    0.000    4.714    0.000 {built-in method builtins.isinstance}
  1005327    2.039    0.000   12.473    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2119(_to_qmt)
   710023    1.384    0.000   14.201    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
  1226879    1.286    0.000   11.562    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:141(normalize_security_code)
  3023235    1.139    0.000    2.591    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
  5664475    1.104    0.000    1.104    0.000 {method 'startswith' of 'str' objects}
  3023235    1.080    0.000    1.448    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
  1228071    0.963    0.000    2.755    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:45(is_bse_market)
      106    0.893    0.008   14.382    0.136 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:37(_build_code_index)
  1226865    0.860    0.000    1.135    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:29(_suffix)
   766720    0.774    0.000    1.160    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:2801(check_dict_or_set_indexers)
   709207    0.718    0.000    2.210    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1668(_validate_integer)
  5000332    0.678    0.000    0.678    0.000 {method 'upper' of 'str' objects}
1914651/1021724    0.660    0.000    1.041    0.000 {built-in method builtins.len}
       76    0.627    0.008    6.901    0.091 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:929(<dictcomp>)
   729831    0.617    0.000    0.820    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:589(_get_axis)
   718684    0.608    0.000    3.350    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\common.py:97(is_bool_indexer)
       76    0.607    0.008    6.798    0.089 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:521(<dictcomp>)
  3929562    0.585    0.000    0.585    0.000 {method 'split' of 'str' objects}
  1080085    0.584    0.000    0.831    0.000 <frozen importlib._bootstrap>:405(parent)
  4997241    0.537    0.000    0.537    0.000 {method 'strip' of 'str' objects}
   700552    0.514    0.000    1.081    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:1085(_ixs)
  1006459    0.424    0.000    9.689    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:153(normalize_to_qmt)
   700531    0.404    0.000    0.404    0.000 {method 'setdefault' of 'dict' objects}
3147523/3147517    0.399    0.000    0.402    0.000 {built-in method builtins.getattr}
   758911    0.369    0.000    0.648    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:834(_values)
    23021    0.366    0.000    0.366    0.000 {method 'copy' of 'numpy.ndarray' objects}
    52008    0.339    0.000    0.339    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   802869    0.308    0.000    0.436    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\range.py:999(__len__)
   710014    0.308    0.000    0.391    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1166(_check_deprecated_callable_usage)
   767627    0.284    0.000    0.399    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\common.py:372(apply_if_callable)
       76    0.281    0.004    1.263    0.017 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:81(<listcomp>)
   758911    0.274    0.000    0.280    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:2023(internal_values)
   710023    0.265    0.000    0.265    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:162(iloc)


