         12922143 function calls (12701334 primitive calls) in 33.961 seconds

   Ordered by: cumulative time
   List reduced from 2278 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       76    0.002    0.000    1.792    0.024 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:76(get_trade_stocks)
     8513    0.047    0.000    1.635    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:888(take)
     9213    0.039    0.000    1.229    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1177(__getitem__)
     8375    0.063    0.000    1.174    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6222(_construct_result)
     9208    0.055    0.000    1.151    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:1720(_getitem_axis)
9858/9780    0.171    0.000    1.125    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:392(__init__)
     8667    0.074    0.000    1.047    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:642(reindex_indexer)
    10507    0.080    0.000    1.034    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:3994(_ixs)
       76    0.136    0.002    1.027    0.014 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:81(<listcomp>)
       76    0.017    0.000    0.944    0.012 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:661(get_fundamentals)
      372    0.014    0.000    0.889    0.002 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:838(check_limit)
     8358    0.032    0.000    0.865    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:706(<listcomp>)



===== TOP BY TOTTIME =====
         12922143 function calls (12701334 primitive calls) in 33.961 seconds

   Ordered by: internal time
   List reduced from 2278 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      398   11.493    0.029   11.494    0.029 {built-in method _duckdb.execute}
     7973    4.648    0.001    4.697    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
  1005327    2.102    0.000    3.574    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2132(_to_qmt)
      242    2.073    0.009    2.727    0.011 {built-in method _duckdb.fetchdf}
  1006459    0.658    0.000    0.742    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:159(normalize_to_qmt)
  1080085    0.550    0.000    0.783    0.000 <frozen importlib._bootstrap>:405(parent)
       76    0.508    0.007    2.244    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:534(<dictcomp>)
       76    0.503    0.007    2.338    0.031 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:942(<dictcomp>)
1446511/1424952    0.386    0.000    0.658    0.000 {built-in method builtins.isinstance}
    23829    0.354    0.000    0.354    0.000 {method 'copy' of 'numpy.ndarray' objects}
    18859    0.291    0.000    0.682    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\array_algos\take.py:120(_take_nd_ndarray)
    51460    0.260    0.000    0.260    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1080720    0.234    0.000    0.234    0.000 {method 'rpartition' of 'str' objects}
      106    0.227    0.002    0.399    0.004 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:37(_build_code_index)
493074/304483    0.203    0.000    0.322    0.000 {built-in method builtins.len}
     8721    0.186    0.000    0.615    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\internals\managers.py:977(fast_xs)
    32253    0.186    0.000    0.259    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6258(__finalize__)
9858/9780    0.171    0.000    1.125    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:392(__init__)
       76    0.166    0.002   10.444    0.137 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
   700531    0.153    0.000    0.153    0.000 {method 'setdefault' of 'dict' objects}
    73015    0.142    0.000    0.230    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:1668(_to_ptrade_code)
       76    0.136    0.002    1.027    0.014 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:81(<listcomp>)
    65390    0.133    0.000    0.361    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:6323(__setattr__)
    18324    0.126    0.000    0.131    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:550(maybe_promote)
       77    0.121    0.002    0.124    0.002 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\reshape\merge.py:2399(_factorize_keys)
    12516    0.118    0.000    0.387    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\construction.py:517(sanitize_array)
   207417    0.118    0.000    0.264    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:42(_instancecheck)
     8590    0.117    0.000    0.202    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexers\utils.py:239(maybe_convert_indices)
    33643    0.115    0.000    0.144    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:281(__init__)
    18463    0.112    0.000    3.600    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4073(__getitem__)
     8852    0.111    0.000    0.239    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\cast.py:1444(find_common_type)
        5    0.108    0.022    0.108    0.022 {built-in method _duckdb.connect}
   220420    0.107    0.000    0.111    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\libs\security_code_rules.py:163(normalize_to_ptrade)
   207417    0.105    0.000    0.142    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
    37575    0.103    0.000    0.411    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:1107(__getitem__)
59208/51002    0.094    0.000    0.440    0.000 {built-in method numpy.asarray}
     8052    0.094    0.000    0.285    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\range.py:1148(take)
    65631    0.086    0.000    0.129    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexing.py:2801(check_dict_or_set_indexers)
    39901    0.082    0.000    0.106    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\indexes\base.py:3784(get_loc)
    10507    0.080    0.000    1.034    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:3994(_ixs)


