         12922143 function calls (12701334 primitive calls) in 33.961 seconds

   Ordered by: cumulative time
   List reduced from 2278 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   33.961   33.961 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\run_ptrade_strategy.py:115(main)
        1    0.047    0.047   33.799   33.799 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:454(run)
       76    0.003    0.000   25.600    0.337 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:1764(_run_ptrade_strategy)
       77    0.000    0.000   12.791    0.166 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:425(attach)
       77    0.042    0.001   12.791    0.166 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:434(attach_day)
       76    0.017    0.000   12.034    0.158 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:36(before_trading_start)
       77    0.007    0.000   11.811    0.153 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:114(preload)
       77    0.023    0.000   11.800    0.153 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:168(preload_fundamentals_pit)
      398   11.493    0.029   11.494    0.029 {built-in method _duckdb.execute}
       77    0.001    0.000   11.108    0.144 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:913(query_valuation_for_preload)
       76    0.166    0.002   10.444    0.137 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\ptrade_api.py:773(filter_stock_by_status)
     8375    0.019    0.000    6.227    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\common.py:62(new_method)
     8204    0.046    0.000    6.147    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\series.py:6129(_cmp_method)
     8125    0.012    0.000    6.142    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\arraylike.py:38(__eq__)
     8204    0.063    0.000    4.880    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:288(comparison_op)
     7973    4.648    0.001    4.697    0.001 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\ops\array_ops.py:113(comp_method_OBJECT_ARRAY)
    18463    0.112    0.000    3.600    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4073(__getitem__)
  1005327    2.102    0.000    3.574    0.000 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:2132(_to_qmt)
     8279    0.066    0.000    2.878    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\frame.py:4141(_getitem_bool_array)
      242    2.073    0.009    2.727    0.011 {built-in method _duckdb.fetchdf}
       76    0.001    0.000    2.351    0.031 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:920(_build_match_prices)
       76    0.503    0.007    2.338    0.031 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:942(<dictcomp>)
       78    0.048    0.001    2.336    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_provider.py:40(preload)
       78    0.004    0.000    2.273    0.029 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\providers\duckdb_data_access.py:297(preload_daily_snapshots)
       76    0.508    0.007    2.244    0.030 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\backtest_engine.py:534(<dictcomp>)
       76    0.001    0.000    1.985    0.026 D:\miniQMT策略实盘\QuantStudio\quantstudio\backtest\strategies\小市值策略ptrade.py:51(handle_data)
     8358    0.045    0.000    1.878    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4164(_take_with_is_copy)
     8361    0.073    0.000    1.852    0.000 C:\Users\Administrator\AppData\Local\Programs\Python\Python311\Lib\site-packages\pandas\core\generic.py:4049(take)
