code,end_date,fi_ann_date,fi_eps_orig,fi_data_source,ic_ann_date,ic_basic_eps
001226,1632931200000,1666800000000,,mcp,1666800000000,1.12
001227,1561824000000,1566835200000,,mcp,1566835200000,0.27
001227,1727625600000,1730131200000,,mcp,1730131200000,0.2308
001228,1632931200000,1666800000000,,mcp,1666800000000,1.42
001229,1632931200000,1666800000000,,mcp,1666800000000,0.8
001230,1632931200000,1666886400000,,mcp,1666886400000,1.3998
001231,1632931200000,1666800000000,,mcp,1666800000000,0.75
001234,1617120000000,1650816000000,,mcp,1650816000000,0.28
001236,1593446400000,1598457600000,,mcp,1598457600000,0.0481
001236,1632931200000,1666886400000,,mcp,1666886400000,0.0574
001238,1632931200000,1666800000000,,mcp,1666800000000,1.03
001255,1632931200000,1666713600000,,mcp,1666713600000,0.7215
001258,1632931200000,1666800000000,,mcp,1666800000000,0.21
001259,1632931200000,1666886400000,,mcp,1666886400000,0.6544
001266,1617120000000,1651075200000,,mcp,1651075200000,0.93
001266,1632931200000,1667145600000,,mcp,1667145600000,1.2
001268,1632931200000,1666627200000,,mcp,1666627200000,0.86
001269,1632931200000,1667145600000,,mcp,1667145600000,1.12
001270,1632931200000,1666972800000,,mcp,1666972800000,0.5119
001277,1696003200000,1730044800000,,mcp,1730044800000,1.7182
001283,1632931200000,1666886400000,,mcp,1666886400000,3.06
001286,1696003200000,1698336000000,,mcp,1698336000000,0.64
001288,1617120000000,1650816000000,,mcp,1650816000000,0.15
001289,1609344000000,1619539200000,,mcp,1619539200000,0.58
001296,1617120000000,1651075200000,,mcp,1651075200000,0.24
001300,1632931200000,1666886400000,,mcp,1666886400000,0.69
001308,1617120000000,1650816000000,,mcp,1650816000000,0.33
001308,1632931200000,1666540800000,,mcp,1666540800000,1.24
001309,1632931200000,1666886400000,,mcp,1666886400000,1.07
001313,1617120000000,1651161600000,,mcp,1651161600000,-0.03
001316,1632931200000,1666800000000,,mcp,1666800000000,1.006
001316,1688054400000,1693324800000,,mcp,1693324800000,0.6332
001317,1617120000000,1650988800000,,mcp,1650988800000,0.22
001318,1632931200000,1666713600000,,mcp,1666713600000,0.5057
001319,1632931200000,1666886400000,,mcp,1666886400000,0.5745
001322,1632931200000,1667145600000,,mcp,1667145600000,0.3734
001322,1696003200000,1698422400000,,mcp,1698422400000,0.2973
001323,1632931200000,1666886400000,,mcp,1666886400000,1.15
001330,1632931200000,1667145600000,,mcp,1667145600000,0.07
001331,1632931200000,1666627200000,,mcp,1666627200000,1.15
001332,1632931200000,1666886400000,,mcp,1666886400000,2.7604
001336,1632931200000,1666886400000,,mcp,1666886400000,0.71
001338,1696003200000,1698163200000,,mcp,1698163200000,0.25
001339,1632931200000,1666886400000,,mcp,1666886400000,0.81
001367,1759161600000,1761062400000,,mcp,1761062400000,0.59
001390,1727625600000,1761494400000,,mcp,1761494400000,0.9151
001400,1727625600000,1761321600000,,mcp,1761321600000,2.4301
001400,1743350400000,1745942400000,,mcp,1745942400000,0.7444
001965,1688054400000,1693238400000,,mcp,1693238400000,0.4398
001979,1711814400000,1714406400000,,mcp,1714406400000,0.01
002001,1711814400000,1714406400000,,mcp,1714406400000,0.28
002034,1767110400000,1776441600000,,mcp,1776441600000,1.69
002036,1688054400000,1693411200000,,mcp,1693411200000,-0.2603
002044,1719676800000,1724947200000,,mcp,1724947200000,-0.06
002045,1696003200000,1698422400000,,mcp,1698422400000,0.69
002047,1711814400000,1714406400000,,mcp,1714406400000,-0.05
002051,1696003200000,1697817600000,,mcp,1697817600000,0.28
002051,1711814400000,1714406400000,,mcp,1714406400000,0.09
002054,1711814400000,1714406400000,,mcp,1714406400000,0.0369
002060,1688054400000,1693411200000,,mcp,1693411200000,0.1769
002066,1711814400000,1714406400000,,mcp,1714406400000,0.0971
002079,1727625600000,1730304000000,,mcp,1730304000000,0.05
002080,1759161600000,1761062400000,,mcp,1761062400000,0.8818
002082,1688054400000,1693238400000,,mcp,1693238400000,0.0515
002082,1711814400000,1714406400000,,mcp,1714406400000,0.0466
002096,1688054400000,1693411200000,,mcp,1693411200000,0.26
002096,1727625600000,1730304000000,,mcp,1730304000000,0.42
002127,1688054400000,1692892800000,,mcp,1692892800000,0.0228
002130,1711814400000,1714406400000,,mcp,1714406400000,0.1463
002131,1751212800000,1756396800000,,mcp,1756396800000,0.0706
002136,1759161600000,1761062400000,,mcp,1761062400000,-0.2156
002139,1711814400000,1713801600000,,mcp,1713801600000,0.14
002144,1711814400000,1714406400000,,mcp,1714406400000,0.1
002148,1711814400000,1714406400000,,mcp,1714406400000,0.0046
002152,1688054400000,1693324800000,,mcp,1693324800000,0.19
002153,1688054400000,1693411200000,,mcp,1693411200000,0.0082
002155,1759161600000,1761580800000,,mcp,1761580800000,0.66
002157,1688054400000,1693411200000,,mcp,1693411200000,-0.6019
002158,1759161600000,1761235200000,,mcp,1761235200000,0.7327
002163,1711814400000,1714060800000,,mcp,1714060800000,-0.03
002168,1696003200000,1698422400000,,mcp,1698422400000,-0.0638
002171,1688054400000,1692374400000,,mcp,1692374400000,0.16
002171,1696003200000,1698163200000,,mcp,1698163200000,0.26
002174,1688054400000,1693411200000,,mcp,1693411200000,-0.06
002175,1735574400000,1745856000000,,mcp,1745856000000,0.013
002188,1719676800000,1722009600000,,mcp,1722009600000,0.05
002194,1696003200000,1698422400000,,mcp,1698422400000,0.1312
002197,1703952000000,1714406400000,,mcp,1714406400000,-0.12
002198,1696003200000,1698422400000,,mcp,1698422400000,0.0491
002206,1711814400000,1714406400000,,mcp,1714406400000,0.06
002208,1711814400000,1714147200000,,mcp,1714147200000,-0.0738
002218,1711814400000,1714406400000,,mcp,1714406400000,0.0018
002218,1719676800000,1724947200000,,mcp,1724947200000,0.0158
002218,1751212800000,1756310400000,,mcp,1756310400000,-0.043
002223,1696003200000,1698163200000,,mcp,1698163200000,2.2054
002235,1688054400000,1693411200000,,mcp,1693411200000,0.014
002249,1719676800000,1724688000000,,mcp,1724688000000,0.19
002253,1751212800000,1756483200000,,mcp,1756483200000,-0.15
002254,1696003200000,1698422400000,,mcp,1698422400000,0.34
002265,1696003200000,1698336000000,,mcp,1698336000000,0.19
002272,1719676800000,1724947200000,,mcp,1724947200000,-0.1209
002276,1688054400000,1693411200000,,mcp,1693411200000,0.28
002279,1703952000000,1714060800000,,mcp,1714060800000,-0.1642
002281,1703952000000,1714060800000,,mcp,1714060800000,0.83
002286,1711814400000,1714406400000,,mcp,1714406400000,0.06
002304,1696003200000,1698422400000,,mcp,1698422400000,6.7732
002306,1727625600000,1730304000000,,mcp,1730304000000,-0.0471
002309,1696003200000,1698422400000,,mcp,1698422400000,-0.35
002310,1711814400000,1714406400000,,mcp,1714406400000,-0.11
002318,1703952000000,1714406400000,,mcp,1714406400000,1.53
002320,1759161600000,1761580800000,,mcp,1761580800000,0.0852
002327,1751212800000,1756483200000,,mcp,1756483200000,0.13
002329,1711814400000,1714406400000,,mcp,1714406400000,0.0062
002335,1751212800000,1756483200000,,mcp,1756483200000,0.51
002343,1688054400000,1693411200000,,mcp,1693411200000,0.05
002345,1688054400000,1692892800000,,mcp,1692892800000,0.23
002348,1688054400000,1693324800000,,mcp,1693324800000,-0.0344
002350,1751212800000,1756310400000,,mcp,1756310400000,0.033
002352,1711814400000,1714406400000,,mcp,1714406400000,0.39
002352,1735574400000,1743177600000,,mcp,1743177600000,2.11
002354,1696003200000,1698422400000,,mcp,1698422400000,0.0082
002371,1688054400000,1693324800000,,mcp,1693324800000,3.4
002392,1703952000000,1714406400000,,mcp,1714406400000,0.33
002396,1759161600000,1761062400000,,mcp,1761062400000,0.5925
